"Standard_ID","Standard_Name","Standard_Short"
"0","GOD","GOD"
"1","Titan A","TA"
"2","Titan B","TB"
"3","Titan C","TC"
"4","Titan D","TD"
"5","Hero A","HA"
"6","Hero B","HB"
"7","Hero C","HC"
"8","Hero D","HD"
"9","Expert A","EA"
"10","Expert B","EB"
"11","Expert C","EC"
"12","Expert D","ED"
"13","Advance A","AA"
"14","Advance B","AB"
"15","Advance C","AC"
"16","Advance D","AD"
"17","Intermediate A","IA"
"18","Intermediate B","IB"
"19","Intermediate C","IC"
"20","Intermediate D","ID"
"21","Beginner A","BA"
"22","Beginner B","BB"
"23","Beginner C","BC"
"24","Beginner D","BD"
"25","Newbie","NB"
