"Standard_ID","Standard_Name","Standard_Short"
"-4","GOD+4","G+4"
"-3","GOD+3","G+3"
"-2","GOD+2","G+2"
"-1","GOD+1","G+1"
"0","GOD","GOD"
"1","Myth A","MyA"
"2","Myth B","MyB"
"3","Myth C","MyC"
"4","Myth D","MyD"
"5","Titan A","TA"
"6","Titan B","TB"
"7","Titan C","TC"
"8","Titan D","TD"
"9","Hero A","HA"
"10","Hero B","HB"
"11","Hero C","HC"
"12","Hero D","HD"
"13","Master A","MA"
"14","Master B","MB"
"15","Master C","MC"
"16","Master D","MD"
"17","Expert A","EA"
"18","Expert B","EB"
"19","Expert C","EC"
"20","Expert D","ED"
"21","Advance A","AA"
"22","Advance B","AB"
"23","Advance C","AC"
"24","Advance D","AD"
"25","Intermediate A","IA"
"26","Intermediate B","IB"
"27","Intermediate C","IC"
"28","Intermediate D","ID"
"29","Beginner A","BA"
"30","Beginner B","BB"
"31","Beginner C","BC"
"32","Beginner D","BD"
"33","Newbie","NB"
