"Track_ID","Standard_ID","Standard_Time"
"1","0","79.50"
"1","1","79.75"
"1","2","80.00"
"1","3","80.25"
"1","4","80.50"
"1","5","81.00"
"1","6","81.50"
"1","7","82.00"
"1","8","82.50"
"1","9","83.50"
"1","10","84.50"
"1","11","85.50"
"1","12","86.50"
"1","13","88.00"
"1","14","89.50"
"1","15","91.00"
"1","16","92.50"
"1","17","94.50"
"1","18","96.50"
"1","19","98.50"
"1","20","100.50"
"1","21","103.50"
"1","22","106.50"
"1","23","109.50"
"1","24","112.50"
"1","25","999.99"
"2","0","25.50"
"2","1","25.58"
"2","2","25.67"
"2","3","25.75"
"2","4","25.83"
"2","5","26.00"
"2","6","26.17"
"2","7","26.33"
"2","8","26.50"
"2","9","26.83"
"2","10","27.17"
"2","11","27.50"
"2","12","27.83"
"2","13","28.33"
"2","14","28.83"
"2","15","29.33"
"2","16","29.83"
"2","17","30.50"
"2","18","31.17"
"2","19","31.83"
"2","20","32.50"
"2","21","33.50"
"2","22","34.50"
"2","23","35.50"
"2","24","36.50"
"2","25","999.99"
"3","0","73.00"
"3","1","73.25"
"3","2","73.50"
"3","3","73.75"
"3","4","74.00"
"3","5","74.50"
"3","6","75.00"
"3","7","75.50"
"3","8","76.00"
"3","9","77.00"
"3","10","78.00"
"3","11","79.00"
"3","12","80.00"
"3","13","81.50"
"3","14","83.00"
"3","15","84.50"
"3","16","86.00"
"3","17","88.00"
"3","18","90.00"
"3","19","92.00"
"3","20","94.00"
"3","21","97.00"
"3","22","100.00"
"3","23","103.00"
"3","24","106.00"
"3","25","999.99"
"7","0","76.00"
"7","1","76.25"
"7","2","76.50"
"7","3","76.75"
"7","4","77.00"
"7","5","77.50"
"7","6","78.00"
"7","7","78.50"
"7","8","79.00"
"7","9","80.00"
"7","10","81.00"
"7","11","82.00"
"7","12","83.00"
"7","13","84.50"
"7","14","86.00"
"7","15","87.50"
"7","16","89.00"
"7","17","91.00"
"7","18","93.00"
"7","19","95.00"
"7","20","97.00"
"7","21","100.00"
"7","22","103.00"
"7","23","106.00"
"7","24","109.00"
"7","25","999.99"
"4","0","23.50"
"4","1","23.58"
"4","2","23.67"
"4","3","23.75"
"4","4","23.83"
"4","5","24.00"
"4","6","24.17"
"4","7","24.33"
"4","8","24.50"
"4","9","24.83"
"4","10","25.17"
"4","11","25.50"
"4","12","25.83"
"4","13","26.33"
"4","14","26.83"
"4","15","27.33"
"4","16","27.83"
"4","17","28.50"
"4","18","29.17"
"4","19","29.83"
"4","20","30.50"
"4","21","31.50"
"4","22","32.50"
"4","23","33.50"
"4","24","34.50"
"4","25","999.99"
"5","0","92.00"
"5","1","92.50"
"5","2","93.00"
"5","3","93.50"
"5","4","94.00"
"5","5","95.00"
"5","6","96.00"
"5","7","97.00"
"5","8","98.00"
"5","9","99.50"
"5","10","101.00"
"5","11","102.50"
"5","12","104.00"
"5","13","106.00"
"5","14","108.00"
"5","15","110.00"
"5","16","112.00"
"5","17","115.00"
"5","18","118.00"
"5","19","121.00"
"5","20","124.00"
"5","21","128.00"
"5","22","132.00"
"5","23","136.00"
"5","24","140.00"
"5","25","999.99"
"6","0","30.00"
"6","1","30.17"
"6","2","30.33"
"6","3","30.50"
"6","4","30.67"
"6","5","31.00"
"6","6","31.33"
"6","7","31.67"
"6","8","32.00"
"6","9","32.50"
"6","10","33.00"
"6","11","33.50"
"6","12","34.00"
"6","13","34.67"
"6","14","35.33"
"6","15","36.00"
"6","16","36.67"
"6","17","37.67"
"6","18","38.67"
"6","19","39.67"
"6","20","40.67"
"6","21","42.00"
"6","22","43.33"
"6","23","44.67"
"6","24","46.00"
"6","25","999.99"
"8","0","24.50"
"8","1","24.58"
"8","2","24.67"
"8","3","24.75"
"8","4","24.83"
"8","5","25.00"
"8","6","25.17"
"8","7","25.33"
"8","8","25.50"
"8","9","25.83"
"8","10","26.17"
"8","11","26.50"
"8","12","26.83"
"8","13","27.33"
"8","14","27.83"
"8","15","28.33"
"8","16","28.83"
"8","17","29.50"
"8","18","30.17"
"8","19","30.83"
"8","20","31.50"
"8","21","32.50"
"8","22","33.50"
"8","23","34.50"
"8","24","35.50"
"8","25","999.99"
"9","0","115.00"
"9","1","115.50"
"9","2","116.00"
"9","3","116.50"
"9","4","117.00"
"9","5","118.00"
"9","6","119.00"
"9","7","120.00"
"9","8","121.00"
"9","9","122.50"
"9","10","124.00"
"9","11","125.50"
"9","12","127.00"
"9","13","129.00"
"9","14","131.00"
"9","15","133.00"
"9","16","135.00"
"9","17","138.00"
"9","18","141.00"
"9","19","144.00"
"9","20","147.00"
"9","21","151.00"
"9","22","155.00"
"9","23","159.00"
"9","24","163.00"
"9","25","999.99"
"10","0","37.50"
"10","1","37.67"
"10","2","37.83"
"10","3","38.00"
"10","4","38.17"
"10","5","38.50"
"10","6","38.83"
"10","7","39.17"
"10","8","39.50"
"10","9","40.00"
"10","10","40.50"
"10","11","41.00"
"10","12","41.50"
"10","13","42.17"
"10","14","42.83"
"10","15","43.50"
"10","16","44.17"
"10","17","45.17"
"10","18","46.17"
"10","19","47.17"
"10","20","48.17"
"10","21","49.50"
"10","22","50.83"
"10","23","52.17"
"10","24","53.50"
"10","25","999.99"
"11","0","69.00"
"11","1","69.25"
"11","2","69.50"
"11","3","69.75"
"11","4","70.00"
"11","5","70.50"
"11","6","71.00"
"11","7","71.50"
"11","8","72.00"
"11","9","73.00"
"11","10","74.00"
"11","11","75.00"
"11","12","76.00"
"11","13","77.50"
"11","14","79.00"
"11","15","80.50"
"11","16","82.00"
"11","17","84.00"
"11","18","86.00"
"11","19","88.00"
"11","20","90.00"
"11","21","93.00"
"11","22","96.00"
"11","23","99.00"
"11","24","102.00"
"11","25","999.99"
"12","0","22.25"
"12","1","22.33"
"12","2","22.42"
"12","3","22.50"
"12","4","22.58"
"12","5","22.75"
"12","6","22.92"
"12","7","23.08"
"12","8","23.25"
"12","9","23.58"
"12","10","23.92"
"12","11","24.25"
"12","12","24.58"
"12","13","25.08"
"12","14","25.58"
"12","15","26.08"
"12","16","26.58"
"12","17","27.25"
"12","18","27.92"
"12","19","28.58"
