"Track_ID","Standard_ID","Standard_Time"
"1","-4","77.40"
"1","-3","77.55"
"1","-2","77.70"
"1","-1","77.85"
"1","0","78.00"
"1","1","78.15"
"1","2","78.30"
"1","3","78.45"
"1","4","78.60"
"1","5","78.72"
"1","6","78.85"
"1","7","78.97"
"1","8","79.10"
"1","9","79.25"
"1","10","79.40"
"1","11","79.55"
"1","12","79.70"
"1","13","79.90"
"1","14","80.10"
"1","15","80.30"
"1","16","80.50"
"1","17","80.87"
"1","18","81.25"
"1","19","81.62"
"1","20","82.00"
"1","21","83.00"
"1","22","84.00"
"1","23","85.00"
"1","24","86.00"
"1","25","87.50"
"1","26","89.00"
"1","27","90.50"
"1","28","92.00"
"1","29","99.00"
"1","30","106.00"
"1","31","113.00"
"1","32","120.00"
"1","33","999.99"
"2","-4","24.30"
"2","-3","24.40"
"2","-2","24.50"
"2","-1","24.60"
"2","0","24.70"
"2","1","24.80"
"2","2","24.90"
"2","3","25.00"
"2","4","25.10"
"2","5","25.17"
"2","6","25.25"
"2","7","25.32"
"2","8","25.40"
"2","9","25.47"
"2","10","25.55"
"2","11","25.62"
"2","12","25.70"
"2","13","25.77"
"2","14","25.85"
"2","15","25.92"
"2","16","26.00"
"2","17","26.12"
"2","18","26.25"
"2","19","26.37"
"2","20","26.50"
"2","21","26.75"
"2","22","27.00"
"2","23","27.25"
"2","24","27.50"
"2","25","28.12"
"2","26","28.75"
"2","27","29.37"
"2","28","30.00"
"2","29","32.00"
"2","30","34.00"
"2","31","36.00"
"2","32","38.00"
"2","33","999.99"
"3","-4","68.40"
"3","-3","68.60"
"3","-2","68.80"
"3","-1","69.00"
"3","0","69.20"
"3","1","69.40"
"3","2","69.60"
"3","3","69.80"
"3","4","70.00"
"3","5","70.37"
"3","6","70.75"
"3","7","71.12"
"3","8","71.50"
"3","9","71.87"
"3","10","72.25"
"3","11","72.62"
"3","12","73.00"
"3","13","73.50"
"3","14","74.00"
"3","15","74.50"
"3","16","75.00"
"3","17","75.75"
"3","18","76.50"
"3","19","77.25"
"3","20","78.00"
"3","21","78.75"
"3","22","79.50"
"3","23","80.25"
"3","24","81.00"
"3","25","82.25"
"3","26","83.50"
"3","27","84.75"
"3","28","86.00"
"3","29","92.00"
"3","30","98.00"
"3","31","104.00"
"3","32","110.00"
"3","33","999.99"
"4","-4","21.40"
"4","-3","21.48"
"4","-2","21.57"
"4","-1","21.66"
"4","0","21.75"
"4","1","21.83"
"4","2","21.92"
"4","3","22.01"
"4","4","22.10"
"4","5","22.25"
"4","6","22.40"
"4","7","22.55"
"4","8","22.70"
"4","9","22.90"
"4","10","23.10"
"4","11","23.30"
"4","12","23.50"
"4","13","23.75"
"4","14","24.00"
"4","15","24.25"
"4","16","24.50"
"4","17","24.75"
"4","18","25.00"
"4","19","25.25"
"4","20","25.50"
"4","21","25.75"
"4","22","26.00"
"4","23","26.25"
"4","24","26.50"
"4","25","26.87"
"4","26","27.25"
"4","27","27.62"
"4","28","28.00"
"4","29","29.75"
"4","30","31.50"
"4","31","33.25"
"4","32","35.00"
"4","33","999.99"
"5","-4","86.30"
"5","-3","86.50"
"5","-2","86.70"
"5","-1","86.90"
"5","0","87.10"
"5","1","87.40"
"5","2","87.70"
"5","3","88.00"
"5","4","88.30"
"5","5","88.85"
"5","6","89.40"
"5","7","89.95"
"5","8","90.50"
"5","9","91.12"
"5","10","91.75"
"5","11","92.37"
"5","12","93.00"
"5","13","93.75"
"5","14","94.50"
"5","15","95.25"
"5","16","96.00"
"5","17","97.25"
"5","18","98.50"
"5","19","99.75"
"5","20","101.00"
"5","21","102.50"
"5","22","104.00"
"5","23","105.50"
"5","24","107.00"
"5","25","109.50"
"5","26","112.00"
"5","27","114.50"
"5","28","117.00"
"5","29","124.00"
"5","30","131.00"
"5","31","138.00"
"5","32","145.00"
"5","33","999.99"
"6","-4","27.10"
"6","-3","27.20"
"6","-2","27.30"
"6","-1","27.40"
"6","0","27.50"
"6","1","27.62"
"6","2","27.75"
"6","3","27.87"
"6","4","28.00"
"6","5","28.25"
"6","6","28.50"
"6","7","28.75"
"6","8","29.00"
"6","9","29.25"
"6","10","29.50"
"6","11","29.75"
"6","12","30.00"
"6","13","30.25"
"6","14","30.50"
"6","15","30.75"
"6","16","31.00"
"6","17","31.37"
"6","18","31.75"
"6","19","32.12"
"6","20","32.50"
"6","21","33.00"
"6","22","33.50"
"6","23","34.00"
"6","24","34.50"
"6","25","35.37"
"6","26","36.25"
"6","27","37.12"
"6","28","38.00"
"6","29","40.25"
"6","30","42.50"
"6","31","44.75"
"6","32","47.00"
"6","33","999.99"
"7","-4","73.00"
"7","-3","73.12"
"7","-2","73.25"
"7","-1","73.37"
"7","0","73.50"
"7","1","73.67"
"7","2","73.85"
"7","3","74.02"
"7","4","74.20"
"7","5","74.50"
"7","6","74.80"
"7","7","75.10"
"7","8","75.40"
"7","9","75.80"
"7","10","76.20"
"7","11","76.60"
"7","12","77.00"
"7","13","77.50"
"7","14","78.00"
"7","15","78.50"
"7","16","79.00"
"7","17","79.75"
"7","18","80.50"
"7","19","81.25"
"7","20","82.00"
"7","21","82.75"
"7","22","83.50"
"7","23","84.25"
"7","24","85.00"
"7","25","86.25"
"7","26","87.50"
"7","27","88.75"
"7","28","90.00"
"7","29","95.00"
"7","30","100.00"
"7","31","105.00"
"7","32","110.00"
"7","33","999.99"
"8","-4","22.60"
"8","-3","22.70"
"8","-2","22.80"
"8","-1","22.90"
"8","0","23.00"
"8","1","23.12"
"8","2","23.25"
"8","3","23.37"
"8","4","23.50"
"8","5","23.62"
"8","6","23.75"
"8","7","23.87"
"8","8","24.00"
"8","9","24.12"
"8","10","24.25"
"8","11","24.37"
"8","12","24.50"
"8","13","24.62"
"8","14","24.75"
"8","15","24.87"
"8","16","25.00"
"8","17","25.25"
"8","18","25.50"
"8","19","25.75"
"8","20","26.00"
"8","21","26.25"
"8","22","26.50"
"8","23","26.75"
"8","24","27.00"
"8","25","27.50"
"8","26","28.00"
"8","27","28.50"
"8","28","29.00"
"8","29","30.50"
"8","30","32.00"
"8","31","33.50"
"8","32","35.00"
"8","33","999.99"
"9","-4","110.70"
"9","-3","110.90"
"9","-2","111.10"
"9","-1","111.30"
"9","0","111.50"
"9","1","111.75"
"9","2","112.00"
"9","3","112.25"
"9","4","112.50"
"9","5","112.87"
"9","6","113.25"
"9","7","113.62"
"9","8","114.00"
"9","9","114.50"
"9","10","115.00"
"9","11","115.50"
"9","12","116.00"
"9","13","116.50"
"9","14","117.00"
"9","15","117.50"
"9","16","118.00"
"9","17","119.25"
"9","18","120.50"
"9","19","121.75"
"9","20","123.00"
"9","21","124.50"
"9","22","126.00"
"9","23","127.50"
"9","24","129.00"
"9","25","130.75"
"9","26","132.50"
"9","27","134.25"
"9","28","136.00"
"9","29","142.00"
"9","30","148.00"
"9","31","154.00"
"9","32","160.00"
"9","33","999.99"
"10","-4","36.00"
"10","-3","36.07"
"10","-2","36.15"
"10","-1","36.22"
"10","0","36.30"
"10","1","36.40"
"10","2","36.50"
"10","3","36.60"
"10","4","36.70"
"10","5","36.82"
"10","6","36.95"
"10","7","37.07"
"10","8","37.20"
"10","9","37.40"
"10","10","37.60"
"10","11","37.80"
"10","12","38.00"
"10","13","38.20"
"10","14","38.40"
"10","15","38.60"
"10","16","38.80"
