"Track_ID","Track_Name","Class_ID"
"1","Crash Cove","3"
"2","Crash Cove","1"
"3","Roo Tubes","3"
"4","Roo Tubes","1"
"5","Tiger Temple","3"
"6","Tiger Temple","1"
"7","Coco Park","3"
"8","Coco Park","1"
"9","Mystery Caves","3"
"10","Mystery Caves","1"
"11","Blizzard Bluff","3"
"12","Blizzard Bluff","1"
"13","Sewer Speedway","3"
"14","Sewer Speedway","1"
"15","Dingo Canyon","3"
"16","Dingo Canyon","1"
"17","Papu Pyramid","3"
"18","Papu Pyramid","1"
"19","Dragon Mines","3"
"20","Dragon Mines","1"
"21","Polar Pass","3"
"22","Polar Pass","1"
"23","Cortex Castle","3"
"24","Cortex Castle","1"
"25","Tiny Arena","3"
"26","Tiny Arena","1"
"27","Hot Air Skyway","3"
"28","Hot Air Skyway","1"
"29","N.Gin Labs","3"
"30","N.Gin Labs","1"
"31","Oxide Station","3"
"32","Oxide Station","1"
"33","Slide Coliseum","3"
"34","Slide Coliseum","1"
"35","Turbo Track","3"
"36","Turbo Track","1"
"37","Crash Cove","2"
"38","Roo Tubes","2"
"39","Tiger Temple","2"
"40","Coco Park","2"
"41","Mystery Caves","2"
"42","Blizzard Bluff","2"
"43","Sewer Speedway","2"
"44","Dingo Canyon","2"
"45","Papu Pyramid","2"
"46","Dragon Mines","2"
"47","Polar Pass","2"
"48","Cortex Castle","2"
"49","Tiny Arena","2"
"50","Hot Air Skyway","2"
"51","N.Gin Labs","2"
"52","Oxide Station","2"
"53","Slide Coliseum","2"
"54","Turbo Track","2"
"55","Crash Cove","0"
"56","Roo Tubes","0"
"57","Tiger Temple","0"
"58","Coco Park","0"
"59","Mystery Caves","0"
"60","Blizzard Bluff","0"
"61","Sewer Speedway","0"
"62","Dingo Canyon","0"
"63","Papu Pyramid","0"
"64","Dragon Mines","0"
"65","Polar Pass","0"
"66","Cortex Castle","0"
"67","Tiny Arena","0"
"68","Hot Air Skyway","0"
"69","N.Gin Labs","0"
"70","Oxide Station","0"
"71","Slide Coliseum","0"
"72","Turbo Track","0"
"73","Crash Cove","4"
"74","Crash Cove","5"
"75","Roo Tubes","4"
"76","Roo Tubes","5"
"77","Tiger Temple","4"
"78","Tiger Temple","5"
"79","Coco Park","4"
"80","Coco Park","5"
"81","Mystery Caves","4"
"82","Mystery Caves","5"
"83","Blizzard Bluff","4"
"84","Blizzard Bluff","5"
"85","Sewer Speedway","4"
"86","Sewer Speedway","5"
"87","Dingo Canyon","4"
"88","Dingo Canyon","5"
"89","Papu Pyramid","4"
"90","Papu Pyramid","5"
"91","Dragon Mines","4"
"92","Dragon Mines","5"
