,Player,Course WR,Date,Player,Lap WR,Date
,Bwawouais,73.27,2001-02-13,Arsène_Lupin,23.78,2001-02-04
,jobuzz,71.68,2002-05-13,Sayenjin,22.94,2002-07-08
,Sayenjin,71.56,2002-07-08,Sayenjin,22.86,2002-07-15
,Sayenjin,70.88,2002-07-13,Arsène_Lupin,22.86,2002-09-23
,Sayenjin,70.85,2002-07-13,Kang,22.83,2002-10-06
,Kang,70.72,2002-10-12,Kang,22.67,2002-10-12
,Arsène_Lupin,70.10,2002-10-19,Sayenjin,22.67,2002-11-06
,Kang,70.05,2003-02-24,Sayenjin,22.66,2002-11-07
,Kang,69.53,2003-06-14,Kang,22.48,2003-01-01
,Arsène_Lupin,69.36,2003-06-28,Arsène_Lupin,22.43,2003-06-28
,Kang,69.36,2003-09-09,Kang,22.28,2003-09-04
,Kang,69.24,2003-09-09,Kang,22.24,2003-09-05
,Arsène_Lupin,69.09,2005-02-22,Kang,22.23,2003-09-09
,SkanDu,68.91,2006-01-08,Arsène_Lupin,22.18,2005-02-22
,lepetitkeltois,68.79,2007-02-11,TheTJK,22.15,2006-08-18
,SkanDu,68.62,2007-04-25,lepetitkeltois,22.15,2006-12-21
,lepetitkeltois,68.52,2007-05-13,SkanDu,22.05,2007-04-28
,SkanDu,68.41,2007-05-17,crash68,21.80,2007-11-18
,sambennettctr,68.29,2007-11-19,sambennettctr,21.76,2007-12-04
,sambennettctr,67.76,2008-03-25,luca103,21.72,2008-08-02
,luca103,67.71,2008-08-08,luca103,21.37,2008-08-08
,luca103,67.56,2009-06-22,crash68,21.27,2010-06-26
,crash68,67.50,2010-06-26,crash68,21.11,2010-06-26
,crash68,67.12,2010-06-26,Platinum,21.04,2011-03-14
,Platinum,66.96,2011-03-14,crash68,20.99,2012-10-28
,Justin Zimmermann,66.94,2012-09-08,luca103,20.89,2017-01-07
,crash68,66.81,2013-08-13,,,
,luca103,66.37,2015-04-08,,,
