,Player,Course WR,Date,Player,Lap WR,Date
,Arsène_Lupin,80.65,2001-02-04,Arsène_Lupin,25.66,2001-02-04
,Sayenjin,79.54,2002-06-13,Jinni,25.19,2002-06-15
,Sayenjin,79.26,2002-07-26,Sayenjin,25.15,2002-07-08
,Sayenjin,78.67,2002-08-01,Sayenjin,25.07,2002-08-03
,Sayenjin,78.25,2002-08-05,Kang,25.07,2002-10-19
,Arsène_Lupin,77.88,2002-10-18,Kang,25.06,2002-10-20
,Kang,77.69,2002-11-10,Kang,24.91,2002-10-20
,Kang,77.34,2002-11-10,Sayenjin,24.80,2002-11-09
,Kang,77.06,2002-12-02,Kang,24.71,2002-11-11
,Kang,76.94,2003-05-25,Kang,24.58,2002-11-23
,Kang,76.80,2003-07-08,Kang,24.50,2002-11-30
,Kang,76.74,2003-08-30,Kang,24.49,2003-09-07
,Kang,76.72,2003-09-01,Kang,24.41,2005-03-06
,Kang,76.19,2003-09-02,crashteamfaking,24.39,2006-09-10
,SkanDu,76.14,2006-08-04,crashteamfaking,24.06,2007-06-08
,crashteamfaking,76.14,2006-10-01,Rodrigo Amaral,23.91,2008-03-25
,crashteamfaking,76.06,2006-12-01,Rodrigo Amaral,23.87,2008-07-01
,crashteamfaking,75.95,2006-12-02,Rodrigo Amaral,23.86,2008-08-18
,SkanDu,75.87,2007-07-11,Rodrigo Amaral,23.69,2008-12-03
,sambennettctr,75.78,2007-07-14,Rodrigo Amaral,23.61,2008-12-31
,crashteamfaking,75.47,2007-07-23,LinkZer,23.41,2009-05-06
,Rodrigo Amaral,75.45,2008-02-03,Justin Zimmermann,23.32,2011-04-11
,Rodrigo Amaral,75.34,2008-07-01,crash68,23.27,2011-09-19
,Rodrigo Amaral,74.95,2008-08-19,crash68,23.26,2015-04-22
,Rodrigo Amaral,74.90,2008-12-11,Tapi,23.14,2016-02-11
,LinkZer,74.68,2009-05-06,greendayseb,23.11,2016-02-17
,ntropy44,74.41,2009-05-31,Justin Zimmermann,23.01,2017-11-20
,ntropy44,74.39,2009-06-04,luca103,22.98,2018-05-01
,Lorys,74.36,2009-10-11,Justin Zimmermann,22.83,2019-01-01
,v4eCTR,74.24,2010-03-27,,,
,Lorys,73.91,2010-12-28,,,
,Justin Zimmermann,73.81,2011-04-22,,,
,crash68,73.80,2012-04-15,,,
,crash68,73.54,2013-09-14,,,
,BlitzPhoenix98,73.48,2015-07-09,,,
,luca103,73.39,2018-01-14,,,
,Justin Zimmermann,73.24,2019-01-04,,,
,Justin Zimmermann,73.14,2019-01-04,,,
