,Player,Course WR,Date,Player,Lap WR,Date
,Arsène_Lupin,130.52,2001-02-04,Arsène_Lupin,42.54,2001-02-04
,Sayenjin,128.76,2002-06-04,Sayenjin,41.96,2002-06-15
,Arsène_Lupin,127.37,2002-06-15,Sayenjin,41.65,2002-06-20
,Bwawouais,126.81,2002-06-21,Bwawouais,41.45,2002-06-21
,Sayenjin,126.64,2002-07-17,Sayenjin,41.40,2002-07-16
,Kang,126.37,2002-10-05,ben213,41.34,2002-08-18
,Arsène_Lupin,125.67,2002-10-19,ben213,40.98,2002-08-20
,Kang,125.63,2002-11-24,Sayenjin,40.86,2002-08-20
,Kang,125.57,2003-01-01,ben213,40.74,2002-08-20
,Kang,125.19,2003-01-02,Sayenjin,40.62,2002-08-20
,Kang,124.94,2003-01-03,Sayenjin,40.54,2002-09-01
,Kang,124.71,2003-01-04,ben213,40.39,2002-09-02
,Arsène_Lupin,124.49,2003-06-06,Sayenjin,40.31,2002-09-03
,Kang,124.39,2003-07-13,Kang,40.26,2002-11-17
,Kang,124.24,2003-07-22,Kang,40.17,2003-01-04
,Kang,124.22,2005-03-22,Kang,39.97,2003-02-27
,Kang,124.18,2005-03-25,Kang,39.95,2005-05-27
,Kang,123.99,2005-04-20,Kang,39.87,2005-05-28
,SkanDu,123.85,2006-05-23,crashteamfaking,39.78,2005-12-10
,crashteamfaking,123.70,2006-09-06,TheTJK,39.64,2006-08-30
,TheTJK,123.48,2006-10-05,crashteamfaking,39.59,2006-09-09
,SkanDu,122.97,2006-10-06,crashteamfaking,39.22,2006-10-06
,sambennettctr,122.90,2007-06-24,luca103,39.21,2008-05-08
,vive-crash,122.64,2007-08-22,luca103,39.13,2008-05-09
,sambennettctr,122.62,2007-11-19,pardiez,38.97,2008-11-30
,vive-crash,122.46,2008-02-24,BlackTeamFreezing,38.95,2008-12-20
,sambennettctr,122.02,2008-03-30,luca103,38.90,2008-12-25
,luca103,121.89,2008-11-20,Justin Zimmermann,38.85,2012-06-13
,crash68,121.61,2010-03-07,crash68,38.78,2012-06-14
,crash68,121.34,2010-03-14,luca103,38.75,2013-01-28
,sambennettctr,121.34,2010-07-16,crash68,38.66,2014-01-13
,sambennettctr,121.11,2010-07-22,BlitzPhoenix98,38.64,2015-07-14
,sambennettctr,121.07,2010-08-08,luca103,38.64,2017-01-07
,sambennettctr,121.00,2011-03-20,luca103,38.61,2017-01-07
,sambennettctr,120.94,2011-05-31,,,
,sambennettctr,120.67,2011-06-08,,,
,Justin Zimmermann,120.66,2017-07-14,,,
