,Player,Course WR,Date,Player,Lap WR,Date
,Bwawouais,80.57,2001-02-13,Bwawouais,26.13,2001-02-13
,Sayenjin,80.50,2002-06-01,Sayenjin,25.98,2002-06-01
,Arsène_Lupin,80.23,2002-06-06,Sayenjin,25.94,2002-07-17
,Sayenjin,80.16,2002-07-17,jeremy8,25.88,2002-08-06
,Arsène_Lupin,80.11,2002-08-26,Sayenjin,25.86,2002-08-07
,ben213,80.10,2002-10-11,Yeah21,25.82,2002-08-16
,Arsène_Lupin,79.77,2002-10-18,Yeah21,25.78,2002-08-16
,Arsène_Lupin,79.54,2003-09-06,Kang,25.72,2002-08-28
,Italian21,79.51,2005-04-02,Sayenjin,25.67,2002-09-03
,ErManu85,79.48,2005-06-01,Kang,25.67,2002-10-23
,Kang,79.47,2005-06-22,Kang,25.63,2002-11-06
,Thomas60,79.31,2005-06-26,Kang,25.62,2002-11-15
,ErManu85,79.28,2005-07-23,Kang,25.57,2002-11-23
,Thomas60,79.22,2005-11-03,Arsène_Lupin,25.55,2003-09-06
,ErManu85,79.19,2005-11-03,Kang,25.51,2005-04-06
,ErManu85,79.12,2005-11-03,Ctrrecordholder ,25.49,2005-10-02
,Thomas60,79.04,2005-12-31,Thomas60,25.42,2006-09-04
,ErManu85,78.99,2006-02-16,ErManu85,25.40,2007-05-06
,crashteamfaking,78.98,2006-11-16,Rodrigo Amaral,25.40,2007-11-19
,sambennettctr,78.96,2007-07-10,Rodrigo Amaral,25.32,2008-02-14
,sambennettctr,78.85,2007-07-27,v4eCTR,25.25,2008-03-30
,sambennettctr,78.68,2007-10-24,Rodrigo Amaral,25.18,2009-01-25
,sambennettctr,78.48,2009-01-12,LinkZer,25.07,2009-09-07
,sambennettctr,78.43,2012-03-03,Justin Zimmermann,25.07,2012-06-02
,PoweradeCTR,78.40,2014-08-14,luca103,25.03,2013-01-04
,sambennettctr,78.36,2014-08-29,PoweradeCTR,25.03,2014-07-22
,PoweradeCTR,78.35,2015-03-27,Redhotbr,25.03,2014-08-01
,Tapi,78.27,2015-12-14,PoweradeCTR,24.99,2014-10-15
,PoweradeCTR,78.17,2015-12-20,PoweradeCTR,24.84,2015-12-24
,Justin Zimmermann,77.89,2017-12-03,Justin Zimmermann,24.77,2017-06-18
,,,,PoweradeCTR,24.72,2017-06-18
