,Player,Course WR,Date,Player,Lap WR,Date
,Arsène_Lupin,89.09,2001-02-04,Arsène_Lupin,29.04,2001-02-04
,Sayenjin,88.59,2002-06-13,Sayenjin,28.36,2002-07-15
,ben213,88.51,2002-08-31,Sayenjin,27.93,2002-09-07
,Kang,88.50,2002-09-02,ben213,27.69,2002-09-09
,Sayenjin,87.97,2002-09-05,Arsène_Lupin,27.62,2003-06-06
,Sayenjin,87.88,2002-09-07,Kang,27.62,2003-06-14
,ben213,87.21,2002-09-09,Arsène_Lupin,27.54,2005-02-22
,Kang,87.19,2002-10-02,Kang,27.46,2005-07-23
,Kang,86.56,2002-10-06,Thomas60,27.42,2005-10-11
,ben213,86.51,2002-10-16,Thomas60,27.34,2005-10-30
,Kang,86.41,2002-11-06,Thomas60,27.30,2005-11-11
,Arsène_Lupin,86.17,2003-06-06,Thomas60,27.06,2005-12-02
,Kang,85.88,2003-07-08,SkanDu,27.05,2007-04-25
,Arsène_Lupin,85.83,2005-02-22,crash68,27.02,2008-02-02
,SkanDu,85.61,2005-06-26,sambennettctr,27.02,2008-03-05
,SkanDu,85.53,2005-07-23,luca103,26.97,2008-11-26
,Thomas60,85.24,2005-09-05,crash68,26.96,2009-05-21
,Thomas60,85.19,2005-10-07,oxide the best,26.86,2009-07-26
,Thomas60,84.99,2005-10-11,crash68,26.86,2010-03-23
,Thomas60,84.76,2005-10-30,Platinum,26.72,2010-04-07
,Thomas60,84.32,2005-11-11,Platinum,26.49,2010-05-21
,Thomas60,84.00,2005-12-02,Platinum,26.39,2011-05-25
,SkanDu,83.97,2006-01-13,luca103,26.36,2013-02-10
,ntropy44,83.90,2009-07-20,Platinum,26.13,2013-06-09
,ntropy44,83.72,2009-08-12,crash68,25.86,2015-04-21
,djanmfctr,83.56,2009-11-26,,,
,Platinum,83.44,2010-04-17,,,
,Platinum,83.15,2010-04-30,,,
,Platinum,83.00,2010-05-23,,,
,Platinum,82.72,2010-06-05,,,
,Platinum,82.03,2010-11-10,,,
