,Player,Course WR,Date,Player,Lap WR,Date
,Bwawouais,79.63,2001-02-13,Bwawouais,26.05,2001-02-13
,Sayenjin,79.59,2002-06-15,Sayenjin,25.19,2002-07-13
,Sayenjin,79.17,2002-07-13,Kang,25.17,2002-09-28
,Sayenjin,79.05,2002-07-13,Arsène_Lupin,24.91,2002-10-01
,Sayenjin,78.70,2002-07-14,Sayenjin,24.40,2002-11-10
,Sayenjin,78.53,2002-07-18,Arsène_Lupin,24.03,2002-11-14
,Arsène_Lupin,77.16,2002-10-18,Kang,24.02,2003-02-23
,Arsène_Lupin,76.23,2002-11-14,Kang,23.94,2003-02-23
,Kang,75.57,2005-06-30,Arsène_Lupin,23.76,2003-06-28
,Thomas60,74.42,2005-12-27,Kang,23.60,2005-06-30
,crashteamfaking,74.29,2006-10-15,Thomas60,23.53,2006-01-11
,SkanDu,74.28,2007-04-24,crashteamfaking,23.45,2006-09-29
,SkanDu,74.20,2007-04-24,crashteamfaking,23.21,2006-10-12
,SkanDu,73.96,2007-07-11,luca103,23.18,2008-07-01
,luca103,73.44,2008-06-03,luca103,23.00,2008-09-21
,luca103,73.08,2008-07-04,oxide the best,22.99,2008-11-01
,luca103,72.54,2009-01-23,luca103,22.83,2008-11-01
,luca103,72.26,2009-07-17,luca103,22.75,2011-04-02
,luca103,72.23,2012-08-26,luca103,22.56,2011-04-13
,crash68,72.13,2013-01-24,luca103,22.51,2011-07-22
,crash68,72.02,2013-01-24,crash68,22.39,2011-09-19
,crash68,71.81,2013-01-25,luca103,22.36,2012-12-27
,luca103,71.78,2013-01-26,crash68,22.28,2013-01-25
,luca103,71.76,2013-01-30,luca103,22.18,2013-02-03
,BlitzPhoenix98,71.28,2015-04-14,crash68,22.15,2017-05-08
,luca103,70.95,2016-12-31,,,
