,Player,Course WR,Date,Player,Lap WR,Date
,Arsène_Lupin,145.55,2001-02-04,Arsène_Lupin,45.80,2001-02-04
,Sayenjin,134.40,2002-06-15,Sayenjin,44.06,2002-06-15
,Arsène_Lupin,132.40,2002-06-21,Arsène_Lupin,43.59,2002-06-21
,Sayenjin,131.95,2002-07-14,Sayenjin,43.42,2002-07-12
,Arsène_Lupin,131.06,2002-10-18,Sayenjin,42.67,2002-07-13
,Sayenjin,130.25,2002-11-02,Arsène_Lupin,42.30,2002-10-18
,Arsène_Lupin,129.86,2003-06-06,Kang,42.23,2002-11-01
,Kang,129.56,2003-07-13,Sayenjin,42.20,2002-11-02
,Arsène_Lupin,129.48,2003-09-06,Kang,41.45,2002-11-03
,Kang,126.68,2005-05-27,Sayenjin,41.30,2002-11-04
,Thomas60,124.69,2005-06-01,Arsène_Lupin,40.48,2002-11-08
,Kang,122.93,2005-06-20,Kang,39.34,2003-03-03
,Thomas60,122.38,2005-07-23,Jey007,36.37,2003-04-08
,Thomas60,117.32,2005-10-22,Jey007,34.44,2003-04-09
,Thomas60,114.51,2005-12-19,Kang,33.52,2003-05-25
,Thomas60,113.76,2006-04-29,Arsène_Lupin,33.01,2003-06-06
,crashteamfaking,113.51,2006-07-29,Arsène_Lupin,32.77,2005-07-23
,Thomas60,113.24,2006-08-22,crashteamfaking,32.68,2005-12-10
,sambennettctr,112.40,2007-10-26,TheTJK,32.65,2006-10-18
,Rodrigo Amaral,111.90,2008-11-30,crashteamfaking,32.54,2006-10-21
,v4eCTR,111.22,2009-03-28,TheTJK,32.51,2006-10-25
,v4eCTR,109.55,2010-02-19,Rodrigo Amaral,32.31,2007-10-20
,Blowcircuit,108.99,2011-02-21,BlackTeamFreezing,30.49,2008-12-16
,Blowcircuit,108.95,2011-06-23,crash68,30.21,2010-01-09
,Blowcircuit,108.15,2011-11-12,crash68,29.93,2011-04-15
,Blowcircuit,107.94,2012-08-09,Blowcircuit,29.78,2011-04-22
,Blowcircuit,107.57,2012-11-10,Justin Zimmermann,29.70,2013-01-29
,Blowcircuit,107.00,2013-09-22,luca103,29.70,2013-07-29
,Blowcircuit,104.97,2013-12-10,luca103,29.50,2013-07-29
,Justin Zimmermann,103.62,2015-04-11,luca103,24.38,2013-07-30
,,,,Justin Zimmermann,23.82,2013-08-12
,,,,Blowcircuit,23.20,2013-10-18
,,,,crash68,23.06,2014-12-24
,,,,crash68,22.93,2015-04-22
