,Player,Course WR,Date,Player,Lap WR,Date
,Bwawouais,121.44,2001-02-13,Bwawouais,40.12,2001-02-13
,Sayenjin,119.59,2002-06-01,Arsène_Lupin,39.61,2002-06-15
,Sayenjin,119.56,2002-07-09,Sayenjin,39.26,2002-07-09
,Sayenjin,118.76,2002-07-13,Sayenjin,39.17,2002-07-13
,Sayenjin,118.41,2002-08-02,Sayenjin,38.83,2002-08-02
,Sayenjin,118.14,2002-08-05,Sayenjin,38.67,2002-08-05
,Sayenjin,117.49,2002-08-05,Kang,38.66,2002-09-01
,Kang,117.19,2002-09-01,Sayenjin,38.51,2002-09-03
,Sayenjin,117.05,2002-09-03,Kang,38.42,2002-09-08
,Kang,116.68,2002-09-08,Kang,38.39,2002-09-08
,Kang,116.43,2002-09-09,Kang,38.27,2002-09-09
,Kang,115.93,2002-09-09,Kang,38.07,2002-09-09
,Kang,115.79,2002-10-26,Sayenjin,37.84,2002-12-23
,Kang,115.69,2002-10-27,Sayenjin,37.79,2002-12-24
,Sayenjin,115.38,2002-12-26,Arsène_Lupin,37.75,2003-07-07
,Kang,115.24,2002-12-28,Kang,37.40,2005-11-05
,Arsène_Lupin,115.13,2003-06-28,ErManu85,37.38,2007-05-01
,Kang,114.45,2005-11-07,pardiez,37.28,2007-12-11
,SkanDu,114.41,2006-01-31,crash68,37.20,2008-02-09
,ErManu85,114.36,2006-07-29,Rodrigo Amaral,36.96,2008-07-13
,ErManu85,113.98,2007-04-22,sambennettctr,36.84,2008-07-21
,ErManu85,113.92,2007-05-01,Rodrigo Amaral,36.72,2008-11-13
,sambennettctr,113.88,2007-12-14,Rodrigo Amaral,36.67,2009-01-25
,crash68,113.77,2008-02-10,ntropy44,36.66,2009-06-17
,crash68,113.26,2008-02-21,crash68,36.65,2009-06-28
,luca103,113.20,2008-02-22,Justin Zimmermann,36.62,2012-01-03
,luca103,112.82,2008-05-20,Justin Zimmermann,36.60,2012-01-03
,luca103,112.72,2008-10-08,luca103,36.60,2013-01-05
,luca103,112.55,2008-10-09,luca103,36.44,2013-08-24
,luca103,112.52,2009-07-26,Tapi,36.34,2013-09-12
,ntropy44,111.93,2009-08-13,BlitzPhoenix98,36.28,2015-07-01
,BlitzPhoenix98,111.25,2015-01-04,,,
,Kojiro,111.14,2018-01-08,,,
