,Player,Course WR,Date,Player,Lap WR,Date
,Bwawouais,133.91,2001-02-13,Bwawouais,43.90,2001-02-13
,jobuzz,133.62,2002-05-05,jobuzz,43.46,2002-05-05
,Sayenjin,132.71,2002-06-15,Sayenjin,43.39,2002-06-15
,Bwawouais,132.24,2002-07-08,Arsène_Lupin,43.15,2002-07-08
,Sayenjin,131.99,2002-07-16,Sayenjin,43.01,2002-07-12
,Sayenjin,131.97,2002-07-26,Sayenjin,42.92,2002-07-13
,Kang,131.70,2002-08-30,Sayenjin,42.69,2002-08-12
,Kang,131.59,2002-08-31,Sayenjin,42.32,2002-09-01
,ben213,131.06,2002-09-01,Kang,42.11,2002-09-01
,Sayenjin,130.97,2002-09-04,ben213,41.83,2002-09-01
,Sayenjin,130.12,2002-09-05,Kang,41.83,2002-11-22
,ben213,129.99,2002-09-13,Kang,41.79,2002-11-23
,Kang,129.94,2002-10-26,Kang,41.65,2005-05-23
,Sayenjin,129.86,2002-10-27,crashteamfaking,41.48,2005-06-26
,Kang,129.82,2002-11-22,TheTJK,41.37,2005-12-19
,Kang,129.42,2002-11-22,crashteamfaking,41.30,2006-01-01
,Arsène_Lupin,129.13,2003-06-16,Rodrigo Amaral,41.12,2007-12-15
,Kang,129.00,2003-07-13,sambennettctr,41.05,2008-03-25
,Kang,128.69,2005-05-22,Rodrigo Amaral,40.94,2008-05-17
,stelzig,128.61,2005-06-01,luca103,40.94,2008-12-25
,Arsène_Lupin,128.52,2005-06-27,djanmfctr,40.91,2009-06-08
,sambennettctr,128.38,2007-10-10,crash68,40.89,2009-07-16
,crash68,128.24,2008-02-17,luca103,40.88,2009-07-20
,luca103,127.95,2008-09-12,tingidial,40.87,2010-05-07
,luca103,127.87,2008-10-29,crash68,40.76,2011-02-06
,luca103,127.78,2008-10-31,v4eCTR,40.69,2011-03-30
,luca103,127.27,2008-12-11,v4eCTR,40.65,2011-03-31
,sambennettctr,127.00,2010-04-19,Justin Zimmermann,40.56,2012-05-08
,crash68,126.83,2010-06-02,crash68,40.56,2012-07-21
,crash68,126.75,2011-02-25,greendayseb,40.42,2013-02-27
,crash68,126.46,2011-04-03,luca103,40.38,2013-03-01
,zord,126.21,2013-09-13,crash68,40.37,2015-05-08
,zord,125.94,2013-10-16,luca103,40.32,2017-10-22
,,,,Justin Zimmermann,40.29,2018-11-04
