,Player,Course WR,Date,Player,Lap WR,Date
,Arsène_Lupin,148.48,2001-02-04,Arsène_Lupin,49.01,2001-02-04
,Arsène_Lupin,147.64,2002-07-08,Arsène_Lupin,48.91,2002-07-08
,Sayenjin,147.40,2002-07-22,Sayenjin,48.67,2002-07-22
,Kang,147.35,2002-09-15,Sayenjin,48.64,2002-08-12
,Kang,147.31,2002-09-15,Kang,48.40,2002-09-17
,Kang,146.72,2002-09-17,Kang,48.29,2002-09-18
,Kang,146.70,2002-09-17,Kang,47.95,2002-10-24
,Kang,146.32,2002-10-06,Kang,47.76,2002-11-17
,Kang,145.44,2002-11-02,Kang,47.65,2003-09-01
,Kang,145.29,2002-12-29,SkanDu,46.18,2005-06-17
,Kang,144.94,2002-12-30,SkanDu,43.09,2005-06-26
,Kang,144.86,2003-05-31,SkanDu,41.87,2005-06-27
,Kang,144.64,2003-07-13,SkanDu,40.33,2005-07-23
,SkanDu,139.50,2005-06-17,crashteamfaking,40.20,2005-12-22
,SkanDu,130.69,2005-06-26,crashteamfaking,39.97,2005-12-24
,SkanDu,130.37,2005-06-27,crashteamfaking,39.66,2006-01-01
,SkanDu,129.38,2005-07-06,SkanDu,39.61,2006-02-16
,SkanDu,123.13,2005-07-23,crashteamfaking,39.54,2006-09-14
,SkanDu,121.73,2006-01-04,crashteamfaking,39.05,2006-09-23
,SkanDu,119.90,2006-02-17,sambennettctr,38.96,2007-08-02
,crashteamfaking,119.17,2006-09-23,sambennettctr,38.91,2008-08-24
,sambennettctr,118.73,2007-07-21,sambennettctr,38.52,2008-09-04
,Antgtone,118.67,2008-04-25,v4eCTR,38.51,2008-09-20
,sambennettctr,118.06,2008-08-28,v4eCTR,38.31,2008-09-21
,luca103,117.99,2008-09-06,luca103,38.12,2009-02-20
,v4eCTR,116.99,2008-09-18,v4eCTR,38.03,2010-05-16
,v4eCTR,116.87,2010-03-17,v4eCTR,37.99,2010-06-17
,crash68,116.69,2010-04-28,v4eCTR,37.95,2010-10-17
,v4eCTR,115.83,2010-05-16,v4eCTR,37.89,2010-11-15
,v4eCTR,115.74,2010-11-20,v4eCTR,37.85,2011-02-16
,v4eCTR,115.56,2010-11-26,v4eCTR,37.81,2011-02-17
,v4eCTR,115.07,2011-02-16,v4eCTR,37.80,2011-02-19
,v4eCTR,114.99,2011-02-20,v4eCTR,37.74,2011-02-20
,v4eCTR,114.81,2011-03-03,v4eCTR,37.73,2011-02-20
,v4eCTR,114.41,2011-03-24,v4eCTR,37.57,2011-02-25
,v4eCTR,114.10,2011-04-08,v4eCTR,37.52,2011-03-05
,v4eCTR,114.04,2011-04-22,v4eCTR,37.47,2011-03-06
,v4eCTR,113.76,2011-07-03,v4eCTR,37.19,2011-03-07
,v4eCTR,113.57,2012-06-07,v4eCTR,37.15,2011-05-14
,v4eCTR,113.40,2012-10-14,v4eCTR,37.06,2011-05-15
,v4eCTR,113.14,2014-10-13,v4eCTR,36.94,2011-05-21
,v4eCTR,112.79,2017-12-05,v4eCTR,36.72,2012-01-17
,luca103,110.08,2018-08-18,luca103,34.74,2018-08-19
,FGTurismo21,103.12,2018-08-26,luca103,33.39,2018-08-24
,FGTurismo21,102.76,2018-11-07,FGTurismo21,33.39,2018-12-21
,luca103,102.38,2019-01-02,luca103,32.06,2018-12-23
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
