,Player,Course WR,Date,Player,Lap WR,Date
,Arsène_Lupin,90.50,2001-02-04,Arsène_Lupin,29.54,2001-02-04
,Sayenjin,77.30,2002-06-02,jobuzz,24.50,2002-05-06
,ben213,76.81,2002-07-11,Sayenjin,24.16,2002-06-01
,Sayenjin,75.96,2002-07-12,Sayenjin,24.05,2002-07-12
,Sayenjin,75.60,2002-07-15,Sayenjin,23.81,2002-07-14
,Kang,75.43,2002-10-25,Kang,23.81,2002-10-25
,Kang,75.25,2003-02-24,Kang,23.65,2002-10-25
,Kang,74.84,2003-06-14,Sayenjin,23.54,2002-11-10
,Kang,74.36,2003-07-21,Kang,23.51,2003-02-24
,Kang,73.81,2003-07-22,Kang,23.35,2003-07-19
,Thomas60,73.34,2005-12-21,Kang,23.23,2003-07-21
,SkanDu,72.99,2006-02-03,Thomas60,22.90,2005-12-21
,Thomas60,72.67,2006-09-13,crash68,22.90,2007-05-02
,SkanDu,72.62,2006-09-18,lepetitkeltois,22.58,2007-05-13
,lepetitkeltois,72.46,2007-05-13,BlackTeamFreezing,22.34,2008-12-25
,luca103,72.42,2008-09-12,luca103,22.24,2009-01-11
,luca103,72.34,2008-11-03,crash68,22.06,2010-02-26
,luca103,72.18,2009-01-09,crash68,21.96,2010-03-28
,v4eCTR,72.02,2009-01-10,luca103,21.88,2011-06-05
,luca103,71.80,2009-06-08,crash68,21.76,2013-02-13
,Justin Zimmermann,71.73,2012-05-18,luca103,21.76,2013-08-01
,luca103,71.70,2012-12-30,luca103,21.63,2013-08-01
,Blowcircuit,71.38,2013-11-06,luca103,21.61,2013-08-13
,crash68,71.04,2015-11-07,luca103,21.56,2013-08-14
,Justin Zimmermann,70.90,2018-03-09,luca103,21.53,2013-08-16
,Justin Zimmermann,61.42,2018-08-25,crash68,21.45,2015-06-09
,PoweradeCTR,61.08,2018-09-05,luca103,21.40,2017-01-01
,giro94hc,60.68,2018-09-22,Justin Zimmermann,6.46,2018-08-25
,Justin Zimmermann,53.99,2018-10-03,Justin Zimmermann,5.19,2018-09-14
,giro94hc,52.41,2018-12-22,luca103,5.19,2018-09-15
,,,,Justin Zimmermann,4.86,2018-09-29
,,,,Justin Zimmermann,4.83,2018-10-26
,,,,Redhotbr,4.73,2018-11-01
,,,,Justin Zimmermann,4.70,2018-11-04
,,,,luca103,4.62,2018-12-26
,,,,,,
