,Player,Course WR,Date,Player,Lap WR,Date
,Arsène_Lupin,75.70,2001-02-04,Arsène_Lupin,24.84,2001-02-04
,Sayenjin,75.08,2002-06-04,Sayenjin,24.53,2002-06-04
,Sayenjin,74.84,2002-08-07,Sayenjin,24.33,2002-08-07
,Arsène_Lupin,74.30,2002-09-20,ben213,24.29,2002-08-08
,ben213,74.01,2002-09-29,Sayenjin,24.17,2002-08-09
,ben213,73.93,2002-10-13,Kang,23.86,2002-09-22
,Arsène_Lupin,73.80,2002-10-18,Sayenjin,23.81,2002-11-03
,Sayenjin,73.72,2002-11-04,Arsène_Lupin,23.81,2002-11-12
,Sayenjin,73.68,2002-11-06,Kang,23.81,2002-11-13
,Kang,73.65,2002-12-26,Kang,23.74,2003-05-25
,Kang,73.42,2003-07-08,Arsène_Lupin,23.56,2003-07-10
,Arsène_Lupin,73.28,2003-07-10,Kang,23.43,2003-09-03
,Kang,73.14,2005-03-06,Thomas60,23.41,2005-10-02
,Kang,72.90,2005-04-12,crashteamfaking,23.37,2005-12-22
,Kang,72.28,2005-04-25,crashteamfaking,23.26,2006-11-17
,pardiez,72.13,2006-11-18,crashteamfaking,23.22,2006-11-26
,pardiez,72.04,2006-12-03,pardiez,23.19,2006-12-03
,pardiez,71.98,2006-12-08,SkanDu,23.11,2007-04-25
,pardiez,71.93,2007-01-05,pardiez,23.09,2007-06-03
,SkanDu,71.77,2007-04-24,SkanDu,22.97,2007-07-17
,crashteamfaking,71.47,2007-07-17,crashteamfaking,22.75,2007-07-17
,pardiez,71.44,2007-07-19,pardiez,22.73,2007-07-18
,pardiez,71.33,2007-12-20,pardiez,22.53,2007-12-20
,pardiez,70.94,2008-02-07,Rodrigo Amaral,22.33,2008-02-03
,Rodrigo Amaral,70.87,2008-02-10,pardiez,22.22,2008-02-07
,pardiez,70.72,2008-02-17,Rodrigo Amaral,22.12,2008-09-19
,sambennettctr,70.68,2008-07-21,luca103,22.12,2009-02-02
,Rodrigo Amaral,70.59,2008-11-13,Justin Zimmermann,22.09,2011-03-02
,sambennettctr,70.21,2009-01-12,crash68,22.05,2011-05-09
,Justin Zimmermann,70.11,2010-12-18,crash68,22.04,2012-07-04
,Justin Zimmermann,69.83,2011-03-02,Tapi,22.01,2012-10-14
,crash68,69.82,2012-06-26,clody95,21.96,2013-01-13
,crash68,69.63,2012-07-02,luca103,21.90,2013-05-06
,v4eCTR,69.62,2012-12-28,luca103,21.77,2013-05-08
,luca103,69.50,2013-02-18,luca103,21.74,2016-08-28
,BlitzPhoenix98,69.37,2014-12-27,luca103,21.70,2016-09-03
,luca103,69.24,2016-09-10,,,
