,Player,Course WR,Date,Player,Lap WR,Date
,Bwawouais,106.65,2001-02-13,Bwawouais,34.93,2001-02-13
,Sayenjin,104.56,2002-06-15,jobuzz,34.47,2002-05-13
,ben213,104.40,2002-08-14,Sayenjin,34.41,2002-07-17
,Kang,104.20,2002-08-16,Sayenjin,34.33,2002-08-05
,Kang,103.77,2002-08-21,ben213,34.10,2002-08-14
,Sayenjin,103.72,2002-08-25,Kang,34.03,2002-08-21
,Kang,103.68,2002-08-25,Sayenjin,34.02,2002-08-23
,ben213,103.55,2002-08-26,Kang,33.99,2002-08-24
,ben213,103.45,2002-08-27,Sayenjin,33.86,2002-08-25
,Sayenjin,103.37,2002-09-04,ben213,33.78,2002-08-26
,ben213,102.96,2002-09-10,ben213,33.66,2002-09-10
,Kang,102.90,2002-09-13,ben213,33.63,2002-10-16
,Arsène_Lupin,102.90,2002-11-12,Sayenjin,33.55,2002-11-15
,Sayenjin,102.86,2002-12-30,Kang,33.52,2003-05-25
,Kang,102.49,2003-05-25,Kang,33.40,2003-05-29
,Kang,101.91,2003-05-29,Kang,33.36,2003-05-30
,Kang,101.71,2003-05-30,Arsène_Lupin,33.31,2003-06-10
,Arsène_Lupin,101.66,2003-06-10,Kang,33.00,2005-06-30
,Kang,101.17,2005-06-30,ErManu85,32.95,2007-05-14
,pardiez,100.91,2007-01-20,sambennettctr,32.71,2007-07-18
,ErManu85,100.86,2007-05-31,luca103,32.69,2008-07-25
,sambennettctr,100.45,2007-08-25,luca103,32.30,2008-09-12
,luca103,100.33,2008-08-09,luca103,32.13,2008-12-05
,luca103,99.50,2008-09-12,crash68,32.02,2011-02-13
,luca103,99.11,2008-12-06,clody95,31.80,2011-03-25
,luca103,98.79,2008-12-07,Justin Zimmermann,31.73,2013-08-12
,djanmfctr,98.65,2009-06-08,BlitzPhoenix98,31.31,2014-12-03
,djanmfctr,98.46,2009-06-13,,,
,clody95,98.35,2011-05-31,,,
,clody95,98.26,2011-12-03,,,
,clody95,98.24,2012-02-05,,,
,clody95,98.12,2012-05-08,,,
,clody95,97.90,2012-06-03,,,
,BlitzPhoenix98,97.86,2013-08-14,,,
,clody95,97.84,2013-10-05,,,
,luca103,97.54,2017-07-12,,,
