,Player,Course WR,Date,Player,Lap WR,Date
,Arsène_Lupin,101.42,2001-02-04,Arsène_Lupin,33.28,2001-02-04
,Sayenjin,100.57,2002-07-04,Sayenjin,33.06,2002-06-15
,Sayenjin,100.53,2002-07-26,Sayenjin,32.93,2002-07-04
,Arsène_Lupin,100.07,2002-09-29,Sayenjin,32.86,2002-08-01
,ben213,99.97,2002-10-16,Kang,32.81,2002-09-25
,Kang,99.75,2002-10-16,ben213,32.81,2002-10-13
,Arsène_Lupin,99.58,2002-11-12,ben213,32.70,2002-10-14
,Kang,99.56,2002-11-16,Kang,32.65,2002-10-16
,Kang,99.04,2002-11-17,Sayenjin,32.50,2002-11-12
,Kang,99.02,2003-01-01,Kang,32.50,2002-11-16
,Kang,98.75,2003-01-01,Kang,32.46,2002-11-17
,Kang,98.67,2003-02-27,Kang,32.41,2002-12-30
,Kang,97.95,2005-04-20,Kang,32.37,2003-01-01
,stelzig,97.90,2005-11-03,Kang,32.33,2003-02-22
,stelzig,96.67,2005-11-03,Arsène_Lupin,32.32,2005-02-22
,stelzig,96.17,2005-11-06,Kang,32.23,2005-04-20
,stelzig,95.92,2005-11-07,Kang,32.15,2005-05-03
,stelzig,94.78,2005-11-08,stelzig,31.87,2005-11-03
,crashteamfaking,94.22,2005-12-31,stelzig,31.79,2005-11-03
,crashteamfaking,92.68,2006-01-04,Kang,31.15,2005-11-05
,crashteamfaking,91.85,2006-03-18,stelzig,31.11,2005-11-07
,SkanDu,91.70,2006-05-14,crashteamfaking,31.00,2005-11-27
,crashteamfaking,91.13,2006-08-01,crashteamfaking,30.63,2005-12-29
,vive-crash,91.11,2006-12-11,crashteamfaking,30.45,2006-01-01
,vive-crash,90.28,2006-12-26,crashteamfaking,30.15,2006-01-04
,vive-crash,89.90,2008-06-27,crashteamfaking,29.86,2006-01-27
,vive-crash,89.72,2008-08-17,crashteamfaking,29.82,2006-01-30
,vive-crash,89.68,2008-08-18,crashteamfaking,29.80,2006-08-26
,vive-crash,89.53,2009-08-25,vive-crash,29.74,2006-12-26
,crash68,89.53,2012-01-24,crash68,29.50,2007-04-30
,crash68,88.99,2012-02-07,vive-crash,29.42,2008-05-25
,Justin Zimmermann,88.93,2017-06-11,vive-crash,29.27,2008-06-27
,,,,vive-crash,29.22,2008-08-17
,,,,luca103,29.18,2008-12-10
,,,,djanmfctr,29.12,2009-06-08
,,,,luca103,29.12,2010-03-26
,,,,crash68,28.99,2010-03-30
,,,,v4eCTR,28.97,2013-01-05
,,,,v4eCTR,28.93,2013-01-06
,,,,luca103,28.93,2013-01-09
,,,,crash68,28.74,2013-01-09
,,,,v4eCTR,28.71,2013-01-09
,,,,crash68,28.66,2013-01-09
,,,,crash68,28.64,2013-01-09
,,,,crash68,28.62,2013-01-10
,,,,crash68,28.54,2013-01-11
,,,,luca103,28.44,2016-07-23
