,Player,Course WR,Date,Player,Lap WR,Date
,Bwawouais,94.79,2001-02-13,Bwawouais,30.90,2001-02-13
,Sayenjin,94.57,2002-06-04,Sayenjin,30.87,2002-07-15
,Sayenjin,93.95,2002-07-31,jeremy8,30.71,2002-07-31
,Ben231,93.69,2002-07-31,Sayenjin,30.52,2002-07-31
,Sayenjin,93.45,2002-08-01,Sayenjin,30.38,2002-08-01
,Sayenjin,93.33,2002-08-02,Sayenjin,30.35,2002-08-02
,Arsène_Lupin,92.94,2002-10-18,Kang,30.31,2002-11-09
,Kang,92.85,2002-11-10,Sayenjin,30.21,2002-11-09
,Sayenjin,92.47,2002-12-30,Sayenjin,30.08,2002-11-10
,Kang,92.34,2003-03-29,Sayenjin,29.89,2002-12-30
,Arsène_Lupin,92.34,2003-07-07,Kang,29.84,2003-03-28
,Kang,92.06,2003-07-08,crashteamfaking,29.77,2005-02-28
,Arsène_Lupin,91.91,2003-07-10,crashteamfaking,29.41,2005-11-27
,crashteamfaking,91.90,2005-12-08,crashteamfaking,29.36,2005-12-03
,crashteamfaking,91.85,2006-01-28,crashteamfaking,29.18,2005-12-05
,SkanDu,91.37,2006-08-03,banga7,29.08,2007-04-06
,crashteamfaking,91.04,2006-08-30,luca103,28.99,2008-11-28
,crashteamfaking,90.99,2006-10-12,BlackTeamFreezing,28.94,2008-12-02
,SkanDu,90.99,2006-11-06,pardiez,28.82,2008-12-16
,sambennettctr,90.88,2007-04-04,pardiez,28.79,2009-01-04
,sambennettctr,90.39,2007-04-15,luca103,28.69,2009-02-07
,SkanDu,90.22,2007-04-24,luca103,28.37,2009-02-21
,sambennettctr,89.89,2007-07-18,crash68,28.28,2009-04-25
,djanmfctr,89.84,2009-02-16,luca103,28.10,2009-08-30
,luca103,89.21,2008-02-19,crash68,28.05,2010-02-07
,luca103,89.01,2009-03-02,crash68,27.76,2010-02-14
,crash68,88.91,2009-04-29,Justin Zimmermann,27.61,2012-06-17
,luca103,88.31,2009-06-29,crash68,27.45,2012-10-30
,crash68,88.14,2011-02-17,PoweradeCTR,27.36,2018-10-20
,crash68,88.12,2011-06-07,,,
,crash68,88.03,2011-06-07,,,
,crash68,87.71,2011-06-07,,,
,crash68,87.59,2011-12-08,,,
,crash68,87.21,2012-04-17,,,
,luca103,87.15,2016-07-08,,,
