,Player,Course WR,Date,Player,Lap WR,Date
,Bwawouais,191.89,2001-02-13,Arsène_Lupin,63.22,2001-02-04
,Sayenjin,184.85,2002-05-28,Sayenjin,60.88,2002-06-01
,Sayenjin,184.20,2002-06-01,Sayenjin,60.78,2002-06-04
,Sayenjin,183.83,2002-06-04,Sayenjin,60.72,2002-06-13
,Sayenjin,183.74,2002-06-13,Sayenjin,60.53,2002-07-26
,Kang,182.84,2002-10-17,Kang,60.39,2002-10-13
,Arsène_Lupin,182.43,2002-10-19,Kang,60.29,2002-10-17
,Kang,181.49,2002-11-01,Arsène_Lupin,60.00,2002-10-19
,Sayenjin,180.58,2002-11-03,Kang,59.94,2002-10-19
,Kang,180.56,2003-02-25,Kang,59.70,2002-11-01
,Kang,180.09,2003-02-25,Sayenjin,59.38,2002-11-02
,Kang,179.77,2003-03-29,Sayenjin,59.30,2002-11-07
,Kang,179.50,2003-09-11,Kang,59.21,2003-02-25
,Thomas60,179.35,2005-03-28,Kang,59.09,2003-08-28
,Thomas60,178.96,2005-06-01,Thomas60,59.09,2005-03-28
,Thomas60,177.81,2005-06-26,Thomas60,58.80,2005-06-26
,Thomas60,177.30,2005-07-23,Thomas60,58.55,2005-07-23
,Thomas60,177.18,2005-10-01,Thomas60,58.40,2005-09-05
,Thomas60,176.93,2005-10-30,crashteamfaking,58.26,2005-10-29
,Thomas60,176.73,2005-11-07,Thomas60,58.10,2005-10-30
,sambennettctr,176.69,2007-10-28,crashteamfaking,58.00,2005-11-07
,vive-crash,176.22,2008-06-21,crashteamfaking,57.97,2005-12-08
,vive-crash,175.97,2008-06-28,crashteamfaking,57.88,2005-12-22
,vive-crash,175.82,2008-07-04,vive-crash,57.74,2008-07-01
,vive-crash,175.20,2008-08-22,vive-crash,57.73,2008-07-02
,luca103,175.03,2009-08-29,vive-crash,57.27,2008-08-21
,luca103,175.02,2009-12-28,BlitzPhoenix98,57.13,2012-11-15
,sambennettctr,175.01,2010-10-10,greendayseb,52.36,2014-07-31
,crash68,174.97,2011-04-12,miabua73,50.70,2015-02-16
,sambennettctr,174.85,2012-03-08,luca103,50.24,2015-02-19
,sambennettctr,174.30,2012-09-14,Matte,50.19,2015-02-19
,sambennettctr,174.22,2013-02-05,v4eCTR,49.63,2015-02-19
,sambennettctr,174.04,2013-08-05,luca103,49.26,2015-02-20
,BlitzPhoenix98,173.87,2014-01-15,luca103,49.25,2015-02-20
,BlitzPhoenix98,173.79,2014-01-16,v4eCTR,48.72,2015-02-23
,greendayseb,171.77,2014-07-31,Justin Zimmermann,48.68,2015-03-21
,miabua73,169.07,2015-02-16,NyXx,45.00,2018-11-27
,v4eCTR,168.38,2015-02-19,,,
,luca103,167.64,2015-02-19,,,
,Justin Zimmermann,166.93,2015-03-13,,,
,crash68,166.07,2015-04-01,,,
,PoweradeCTR,162.83,2015-05-20,,,
,PoweradeCTR,162.49,2015-06-25,,,
,PoweradeCTR,159.92,2015-08-04,,,
,Justin Zimmermann,159.87,2018-01-12,,,
