,Player,Course WR,Date,Player,Lap WR,Date
,Bwawouais,107.85,2001-02-13,Bwawouais,35.46,2001-02-13
,Sayenjin,95.86,2002-06-01,Sayenjin,30.81,2002-06-01
,Sayenjin,95.83,2002-06-01,Sayenjin,30.29,2002-06-02
,Sayenjin,94.76,2002-06-03,Arsène_Lupin,29.77,2002-06-15
,Sayenjin,93.21,2002-06-20,Sayenjin,29.41,2002-06-22
,Sayenjin,92.23,2002-06-22,Sayenjin,29.11,2002-07-26
,Bwawouais,91.69,2002-07-11,Kang,28.74,2002-10-25
,Sayenjin,91.15,2002-07-22,Sayenjin,28.66,2002-10-26
,Kang,90.87,2002-10-25,Sayenjin,28.58,2002-10-26
,Sayenjin,90.63,2002-10-26,Sayenjin,28.39,2002-10-26
,Sayenjin,89.93,2002-10-26,Sayenjin,28.27,2002-11-02
,Sayenjin,88.76,2002-10-27,Sayenjin,28.16,2002-11-06
,Sayenjin,87.93,2002-11-03,Kang,28.10,2003-02-27
,Arsène_Lupin,87.84,2003-06-10,Arsène_Lupin,27.94,2003-06-10
,Kang,87.79,2003-07-12,Kang,27.84,2005-06-20
,Kang,87.75,2005-04-23,Arsène_Lupin,27.74,2005-07-23
,Kang,87.16,2005-04-24,crashteamfaking,27.72,2006-03-19
,stelzig,86.60,2005-06-25,crashteamfaking,27.57,2006-10-15
,SkanDu,86.40,2006-02-25,vive-crash,27.49,2008-03-01
,SkanDu,86.29,2007-04-24,David,27.46,2008-10-28
,sambennettctr,86.25,2007-10-10,sambennettctr,27.38,2008-11-02
,vive-crash,86.20,2008-02-28,luca103,27.38,2009-08-31
,vive-crash,85.92,2008-03-24,crash68,27.29,2009-12-26
,vive-crash,85.68,2008-06-27,luca103,27.19,2013-01-20
,sambennettctr,85.38,2009-07-18,luca103,27.14,2017-04-05
,crash68,85.32,2010-06-01,Justin Zimmermann,27.10,2018-11-25
,Platinum,85.19,2011-04-27,,,
,Platinum,84.82,2011-06-09,,,
,luca103,84.68,2017-04-12,,,
